job_name,job_cpu_request,job_memory_request,job_priority,status,submission_time,job_id,cluster_cpu_available,cluster_memory_available,cluster_queue_length,cluster_running_jobs,execution_success,oom_occurred
k8s-big-data-aggregation-0002,0.5,4.0,6,Failed,2025-06-09T02:54:28+00:00,4aa5c673-c80a-4cca-99e5-6efa9a1f6890,24.0,46.2813835144043,1.0,0.0,0,0
k8s-big-data-aggregation-0015,0.5,4.0,6,Failed,2025-06-09T03:05:20+00:00,5f5f88e7-95d0-4f99-b363-e016ba8cfdfe,24.0,46.2813835144043,1.0,0.0,0,0
k8s-big-data-aggregation-0018,0.5,4.0,6,Failed,2025-06-09T03:07:51+00:00,f598305d-ec1e-47cf-a6f1-db62dc07b9ed,24.0,46.2813835144043,1.0,0.0,0,0
k8s-big-data-aggregation-0028,0.5,4.0,6,Failed,2025-06-09T03:16:12+00:00,5ac5eb64-4954-4976-8c55-2e62663938e7,24.0,46.2813835144043,1.0,0.0,0,0
k8s-big-data-aggregation-0029,0.5,4.0,6,Failed,2025-06-09T03:17:02+00:00,79ed595b-2b22-49be-a7ce-5e3f4f84d602,24.0,46.2813835144043,1.0,0.0,0,0
k8s-data-validation-0007,0.2,0.5,3,Succeeded,2025-06-09T02:58:39+00:00,902839e3-3bbb-4d3b-b197-a9b9c5037ed9,24.0,46.2813835144043,1.0,0.0,1,0
k8s-data-validation-0011,0.2,0.5,3,Succeeded,2025-06-09T03:01:59+00:00,98cc1624-5bef-482e-9c65-9aa6b864ccbe,24.0,46.2813835144043,1.0,0.0,1,0
k8s-data-validation-0012,0.2,0.5,3,Succeeded,2025-06-09T03:02:49+00:00,a664eac4-d823-40c3-bd78-c1d9e8e4e49d,24.0,46.2813835144043,1.0,0.0,1,0
k8s-data-validation-0013,0.2,0.5,3,Succeeded,2025-06-09T03:03:40+00:00,5c82dc6b-7504-4bad-96a8-fe37012aeb65,24.0,46.2813835144043,1.0,0.0,1,0
k8s-data-validation-0017,0.2,0.5,3,Succeeded,2025-06-09T03:07:00+00:00,1144f949-69b3-4212-a992-3d91c6fcbc16,24.0,46.2813835144043,1.0,0.0,1,0
